可缩码："张之洞"  ;;dao ->   ;;da (zhang zhi dong)
可缩码："转折点"  ;;dvi ->   ;;dv (zhuan zhe dian)
可缩码："政治犯"  ;;fva ->   ;;fv (zheng zhi fan)
可缩码："债转股"  ;;giv ->   ;;gi (zhai zhuan gu)
可缩码："张震岳"  ;;rav ->   ;;ra (zhang zhen yue)
可缩码："真正是"  ;;uev ->   ;;ue (zhen zheng shi)
可缩码："主战场"  ;;yoi ->   ;;yo (zhu zhan chang)
可缩码："驻波比"  ;bbaa ->   ;bba (zhu bo bi)
可缩码："织布机"  ;bjav ->   ;bja (zhi bu ji)
可缩码："招财猫"  ;cmia ->   ;cmi (zhao cai mao)
可缩码："主动脉"  ;dmov ->   ;dmo (zhu dong mai)
可缩码："正当年"  ;dnvi ->   ;dnv (zheng dang nian)
可缩码："指导员"  ;dria ->   ;dri (zhi dao yuan)
可缩码："直方图"  ;fteo ->   ;fte (zhi fang tu)
可缩码："战国策"  ;gcii ->   ;gci (zhan guo ce)
可缩码："正规军"  ;gjvv ->   ;gjv (zheng gui jun)
可缩码："重工业"  ;grev ->   ;gre (zhong gong ye)
可缩码："诸侯国"  ;hgoi ->   ;hgo (zhu hou guo)
可缩码："中间层"  ;jcio ->   ;jci (zhong jian ceng)
可缩码："重金属"  ;juei ->   ;jue (zhong jin shu)
可缩码："真君子"  ;jzea ->   ;jze (zhen jun zi)
可缩码："睁开眼"  ;kriv ->   ;kri (zheng kai yan)
可缩码："重口味"  ;kweo ->   ;kwe (zhong kou wei)
可缩码："猪鹿蝶"  ;ldeo ->   ;lde (zhu lu die)
可缩码："展览会"  ;lhai ->   ;lha (zhan lan hui)
可缩码："张靓颖"  ;lrav ->   ;lra (zhang liang ying)
可缩码："肿么办"  ;mbee ->   ;mbe (zhong me ban)
可缩码："捉迷藏"  ;mcio ->   ;mci (zhuo mi cang)
可缩码："专门化"  ;mhvo ->   ;mhv (zhuan men hua)
可缩码："装门面"  ;mmoo ->   ;mmo (zhuang men mian)
可缩码："詹姆士"  ;muea ->   ;mue (zhan mu shi)
可缩码："真能干"  ;ngea ->   ;nge (zhen neng gan)
可缩码："纸尿裤"  ;nkaa ->   ;nka (zhi niao ku)
可缩码："周年庆"  ;nqee ->   ;nqe (zhou nian qing)
可缩码："中年人"  ;nrie ->   ;nri (zhong nian ren)
可缩码："诈骗犯"  ;pfoa ->   ;pfo (zha pian fan)
可缩码："轴平面"  ;pmvv ->   ;pmv (zhou ping mian)
可缩码："占便宜"  ;prii ->   ;pri (zhan pian yi)
可缩码："之前的"  ;qdoo ->   ;qdo (zhi qian de)
可缩码："主权国"  ;qgov ->   ;qgo (zhu quan guo)
可缩码："这期间"  ;qjov ->   ;qjo (zhe qi jian)
可缩码："种情况"  ;qkeo ->   ;qke (zhong qing kuang)
可缩码："朱元璋"  ;r;ev ->   ;r;e (zhu yuan zhang)
可缩码："主人公"  ;rgoi ->   ;rgo (zhu ren gong)
可缩码："中日韩"  ;rhio ->   ;rhi (zhong ri han)
可缩码："专业课"  ;rkvi ->   ;rkv (zhuan ye ke)
可缩码："只让你"  ;rnoo ->   ;rno (zhi rang ni)
可缩码："状态词"  ;tcov ->   ;tco (zhuang tai ci)
可缩码："长头发"  ;tfeo ->   ;tfe (zhang tou fa)
可缩码："转托管"  ;tgvi ->   ;tgv (zhuan tuo guan)
可缩码："这条路"  ;tloe ->   ;tlo (zhe tiao lu)
可缩码："正投影"  ;trvi ->   ;trv (zheng tou ying)
